;solar;wind;cons;market;spot
2019-01-08 09:00:00+01:00;1266.00.00;422.149.263;71052.0;48,42011372;43,88
2019-01-08 10:00:00+01:00;2419.00.00;424.072.003;71696.0;46,53593919;43,85
2019-01-08 11:00:00+01:00;3156.00.00;417.837.159;72431.0;43,93821335;46,74
2019-01-08 12:00:00+01:00;3336.00.00;412.932.715;72103.0;41,19598044;43,94
2019-01-08 13:00:00+01:00;2944.00.00;41.449.902;71496.0;38,13386635;43,21
2019-01-08 14:00:00+01:00;2071.00.00;419.838.376;70431.0;39,56331114;43,81
2019-01-08 15:00:00+01:00;951.00.00;427.158.752;69792.0;42,47609668;45,6
2019-01-08 16:00:00+01:00;100.00.00;433.806.946;70247.0;37,97216542;35,21
2019-01-08 17:00:00+01:00;00.00;438.815.633;73094.0;42,3892463;45,64
2019-01-08 18:00:00+01:00;00.00;442.142.621;72609.0;41,65120403;45,63
2019-01-08 19:00:00+01:00;00.00;440.421.718;71061.0;39,09662015;37,94
2019-01-08 20:00:00+01:00;00.00;438.210.851;66964.0;38,76320398;39,53
2019-01-08 21:00:00+01:00;00.00;426.119.689;63548.0;30,16273387;35,97
2019-01-08 22:00:00+01:00;00.00;409.053.162;60920.0;25,75790784;29,72
2019-01-08 23:00:00+01:00;00.00;39.695.998;56762.0;17,295773;22,55
2019-01-09 00:00:00+01:00;00.00;372.659.598;52463.0;10,64565582;20,04
2019-01-09 01:00:00+01:00;00.00;357.600.237;50478.0;7,97232196;7,24
2019-01-09 02:00:00+01:00;00.00;349.864.845;49709.0;9,628047961;3,43
2019-01-09 03:00:00+01:00;00.00;346.419.529;50194.0;19,10188856;10,04
2019-01-09 04:00:00+01:00;00.00;344.192.719;51545.0;26,02544344;14,2
2019-01-09 05:00:00+01:00;00.00;342.346.276;54847.0;32,86530371;25,41
2019-01-09 06:00:00+01:00;00.00;341.094.419;62389.0;49,25609037;36,98
2019-01-09 07:00:00+01:00;00.00;336.885.479;68491.0;49,97818146;43,89
2019-01-09 08:00:00+01:00;189.00.00;332.354.971;70799.0;52,36097997;50,98
2019-01-09 09:00:00+01:00;1579.00.00;323.446.568;70812.0;52,14793492;50,3
2019-01-09 10:00:00+01:00;3016.00.00;310.757.053;71561.0;52,1806629;50,21
2019-01-09 11:00:00+01:00;3944.00.00;321.158.245;72187.0;50,61705162;45,8
2019-01-09 12:00:00+01:00;4188.00.00;333.335.452;71764.0;49,46343357;43,64
2019-01-09 13:00:00+01:00;3721.00.00;354.756.024;71408.0;49,78296309;43,49
2019-01-09 14:00:00+01:00;2652.00.00;34.147.195;70669.0;49,88226556;45,05
2019-01-09 15:00:00+01:00;1253.00.00;33.019.109;70308.0;50,84167726;49,95
2019-01-09 16:00:00+01:00;149.00.00;319.132.144;71536.0;55,92340544;53,82
2019-01-09 17:00:00+01:00;00.00;316.252.105;74272.0;58,67879279;55,94
2019-01-09 18:00:00+01:00;00.00;314.095.549;73633.0;58,06512312;54,19
2019-01-09 19:00:00+01:00;00.00;309.650.013;72014.0;54,0967316;54,19
2019-01-09 20:00:00+01:00;00.00;302.750.739;68384.0;54,06941505;52,98
2019-01-09 21:00:00+01:00;00.00;288.054.673;65252.0;52,31422899;51,68
2019-01-09 22:00:00+01:00;00.00;270.442.543;62489.0;51,77925394;48,95
2019-01-09 23:00:00+01:00;00.00;251.320.342;58690.0;50,86836376;47,63
2019-01-10 00:00:00+01:00;00.00;193.429.298;54341.0;50,89573358;46,48
2019-01-10 01:00:00+01:00;00.00;175.831.026;52463.0;51,76242113;49,08
2019-01-10 02:00:00+01:00;00.00;159.554.984;51830.0;50,21060175;47,11
2019-01-10 03:00:00+01:00;00.00;144.299.564;52292.0;51,20737953;48,8
2019-01-10 04:00:00+01:00;00.00;130.478.751;53743.0;51,49710803;48,5
2019-01-10 05:00:00+01:00;00.00;121.012.417;56736.0;53,43885356;49,8
2019-01-10 06:00:00+01:00;00.00;112.957.335;64171.0;64,44641476;56,97
2019-01-10 07:00:00+01:00;00.00;106.174.482;70321.0;75,63961891;72,6
2019-01-10 08:00:00+01:00;287.00.00;95.736.685;72681.0;87,4109064;81,17
2019-01-10 09:00:00+01:00;1889.00.00;86.857.962;72904.0;90,2171973;81,79
2019-01-10 10:00:00+01:00;3513.00.00;79.168.229;73308.0;87,55115646;81,15
2019-01-10 11:00:00+01:00;4548.00.00;73.211.636;73769.0;89,21740202;80
2019-01-10 12:00:00+01:00;4804.00.00;67.967.389;73714.0;88,51458186;76,39
2019-01-10 13:00:00+01:00;4255.00.00;63.559.164;73297.0;88,61701613;75
2019-01-10 14:00:00+01:00;3026.00.00;59.071.914;72281.0;90,03887679;76,06
2019-01-10 15:00:00+01:00;1427.00.00;56.086.619;72017.0;89,49935124;75,4
2019-01-10 16:00:00+01:00;165.00.00;54.863.502;72339.0;89,02215117;76,78
2019-01-10 17:00:00+01:00;00.00;5.481.696;74649.0;98,59936022;83,45
2019-01-10 18:00:00+01:00;00.00;56.826.164;74243.0;98,31746522;85,15
2019-01-10 19:00:00+01:00;00.00;60.903.746;72800.0;92,1612036;78,16
2019-01-10 20:00:00+01:00;00.00;63.923.722;69095.0;72,31494936;71,92
2019-01-10 21:00:00+01:00;00.00;68.745.523;65652.0;66,28123438;67,43
2019-01-10 22:00:00+01:00;00.00;75.032.682;62861.0;62,00051864;60,49
2019-01-10 23:00:00+01:00;00.00;80.550.209;59433.0;52,57417803;54,45
2019-01-11 00:00:00+01:00;00.00;82.459.967;55610.0;49,27082799;47,84
2019-01-11 01:00:00+01:00;00.00;88.804.283;53826.0;49,4516221;46,58
2019-01-11 02:00:00+01:00;00.00;95.977.592;53042.0;48,76301227;45,74
2019-01-11 03:00:00+01:00;00.00;104.413.236;53352.0;45,83547006;43,81
2019-01-11 04:00:00+01:00;00.00;114.316.352;54552.0;46,73859227;46,24
2019-01-11 05:00:00+01:00;00.00;127.751.258;57275.0;46,24642567;46,46
2019-01-11 06:00:00+01:00;00.00;143.357.004;64146.0;53,26354935;51,29
2019-01-11 07:00:00+01:00;00.00;160.434.852;70241.0;56,55977334;60,53
2019-01-11 08:00:00+01:00;171.00.00;170.098.071;72821.0;61,9009876;60,02
2019-01-11 09:00:00+01:00;1163.00.00;180.384.983;73116.0;64,80360214;62,92
2019-01-11 10:00:00+01:00;2219.00.00;190.469.708;73822.0;62,19631539;61,58
2019-01-11 11:00:00+01:00;2900.00.00;198.816.902;74279.0;63,09291348;60,6
2019-01-11 12:00:00+01:00;3075.00.00;207.146.135;73710.0;59,29118745;51,89
2019-01-11 13:00:00+01:00;2723.00.00;215.913.209;72728.0;51,77017692;50,8
2019-01-11 14:00:00+01:00;1929.00.00;224.080.386;71314.0;48,44493083;45,46
2019-01-11 15:00:00+01:00;902.00.00;233.648.235;70267.0;46,35300201;42,2
2019-01-11 16:00:00+01:00;109.00.00;24.423.832;70251.0;45,58023625;45
2019-01-11 17:00:00+01:00;00.00;249.874.887;72584.0;50,75981687;51,51
2019-01-11 18:00:00+01:00;00.00;25544.85;71773.0;49,95266999;48,59
2019-01-11 19:00:00+01:00;00.00;260.497.029;69865.0;48,05854596;49,2
2019-01-11 20:00:00+01:00;00.00;259.353.849;65402.0;48,49834526;44,99
2019-01-11 21:00:00+01:00;00.00;257.257.032;61940.0;47,04425365;44,93
2019-01-11 22:00:00+01:00;00.00;25.418.814;59690.0;47,35628579;46,4
2019-01-11 23:00:00+01:00;00.00;244.636.843;55531.0;43,78619248;43,46
2019-01-12 00:00:00+01:00;00.00;229.498.395;52131.0;51,02231412;47,24
2019-01-12 01:00:00+01:00;00.00;222.502.839;49816.0;49,82530666;45,88
2019-01-12 02:00:00+01:00;00.00;219.332.724;48324.0;47,78905878;44,61
2019-01-12 03:00:00+01:00;00.00;21.675.309;47735.0;47,85845319;42,9
2019-01-12 04:00:00+01:00;00.00;214.674.543;47655.0;47,71755431;42,03
2019-01-12 05:00:00+01:00;00.00;213.110.174;47390.0;44,34866168;39,33
2019-01-12 06:00:00+01:00;00.00;211.526.345;47986.0;45,01327885;42,98
2019-01-12 07:00:00+01:00;00.00;209.580.386;50636.0;39,28300173;41,23
2019-01-12 08:00:00+01:00;123.00.00;224.541.709;54395.0;41,49964249;42,12
2019-01-12 09:00:00+01:00;835.00.00;238.779.335;57626.0;47,48566373;45,1
2019-01-12 10:00:00+01:00;1570.00.00;251.739.482;59848.0;47,02445467;44,27
2019-01-12 11:00:00+01:00;2040.00.00;266.350.918;61013.0;43,29917656;44,18
2019-01-12 12:00:00+01:00;2160.00.00;280.380.385;60694.0;42,67437414;42,05
2019-01-12 13:00:00+01:00;1919.00.00;293.977.516;59130.0;38,32237492;38,61
2019-01-12 14:00:00+01:00;1373.00.00;300.817.719;57386.0;33,47476118;37,76
2019-01-12 15:00:00+01:00;663.00.00;307.388.112;57169.0;28,51493354;33,03
2019-01-12 16:00:00+01:00;86.00.00;313.915.005;57833.0;26,92625672;35,84
2019-01-12 17:00:00+01:00;00.00;319.009.492;60956.0;37,2259431;44,24
2019-01-12 18:00:00+01:00;00.00;323.496.378;61353.0;38,644374;46,29
2019-01-12 19:00:00+01:00;00.00;326.679.571;59740.0;36,00026094;40,05
2019-01-12 20:00:00+01:00;00.00;324.539.108;56348.0;33,12161052;38,15
2019-01-12 21:00:00+01:00;00.00;319.741.434;53500.0;27,88765909;30,26
2019-01-12 22:00:00+01:00;00.00;312.399.858;52993.0;34,78539958;40,2
2019-01-12 23:00:00+01:00;00.00;307.413.378;50137.0;25,09211672;30,89
2019-01-13 00:00:00+01:00;00.00;29.676.688;47146.0;23,2950992;23,35
2019-01-13 01:00:00+01:00;00.00;290.464.331;44946.0;20,35874712;12,4
2019-01-13 02:00:00+01:00;00.00;284.945.347;43858.0;21,66868471;19,01
2019-01-13 03:00:00+01:00;00.00;279.562.079;43474.0;27,71985976;23,51
2019-01-13 04:00:00+01:00;00.00;27.434.322;43396.0;27,59385128;23,25
2019-01-13 05:00:00+01:00;00.00;273.282.821;42826.0;28,51133884;20,01
2019-01-13 06:00:00+01:00;00.00;270.974.529;42449.0;27,31044594;20,8
2019-01-13 07:00:00+01:00;00.00;267.674.309;44385.0;27,87401911;22,14
2019-01-13 08:00:00+01:00;111.00.00;282.490.777;47609.0;17,6615599;23,68
2019-01-13 09:00:00+01:00;641.00.00;292.319.715;51394.0;11,14432698;25,05
2019-01-13 10:00:00+01:00;1177.00.00;297.907.197;54208.0;9,202155153;26,3
2019-01-13 11:00:00+01:00;1519.00.00;313.484.937;56958.0;14,19205446;30,81
2019-01-13 12:00:00+01:00;1604.00.00;326.794.071;57076.0;13,78239969;27,06
2019-01-13 13:00:00+01:00;1425.00.00;338.539.584;55362.0;5,239297585;8,5
2019-01-13 14:00:00+01:00;1022.00.00;352.307.843;53967.0;3,075849999;-0,08
2019-01-13 15:00:00+01:00;496.00.00;36.446.183;53766.0;5,477080878;-0,01
2019-01-13 16:00:00+01:00;67.00.00;374.431.187;54768.0;6,270784209;-0,27
2019-01-13 17:00:00+01:00;00.00;388.087.761;58758.0;21,23733512;21,55
2019-01-13 18:00:00+01:00;00.00;397.691.823;60249.0;23,66482626;24,04
2019-01-13 19:00:00+01:00;00.00;402.765.389;59388.0;13,57234545;15,91
2019-01-13 20:00:00+01:00;00.00;410.291.466;56469.0;4,400845054;-0,02
2019-01-13 21:00:00+01:00;00.00;411.682.129;54628.0;1,689702092;-0,33
2019-01-13 22:00:00+01:00;00.00;406.952.009;54410.0;4,536602497;3,04
2019-01-13 23:00:00+01:00;00.00;401.418.324;51470.0;1,092180245;-7,28
2019-01-14 00:00:00+01:00;00.00;394.159.826;48846.0;1,808593853;-3,14
2019-01-14 01:00:00+01:00;00.00;381.869.496;47081.0;-0,756927937;-12
2019-01-14 02:00:00+01:00;00.00;374.858.935;46792.0;-1,000856783;-15,04
2019-01-14 03:00:00+01:00;00.00;368.153.397;47387.0;-0,387246518;-11,09
2019-01-14 04:00:00+01:00;00.00;361.674.122;48975.0;0,010627117;-4,94
2019-01-14 05:00:00+01:00;00.00;358.191.035;52729.0;12,80957573;1,59
2019-01-14 06:00:00+01:00;00.00;35.403.639;61935.0;45,63522164;35,9
2019-01-14 07:00:00+01:00;00.00;348.694.482;69035.0;58,37386051;51,22
2019-01-14 08:00:00+01:00;459.00.00;347.372.827;71530.0;59,20287392;51,66
2019-01-14 09:00:00+01:00;2571.00.00;34.367.277;72033.0;54,94661537;46,09
2019-01-14 10:00:00+01:00;4658.00.00;337.463.077;72706.0;55,06645943;50,26
2019-01-14 11:00:00+01:00;5990.00.00;344.597.241;73472.0;52,96652686;44,49
